Category,Quote,Tags
love,"Love has its own instinct, finding the way to the heart, as the feeblest insect finds the way to its flower, with a will which nothing can dismay nor turn aside.","Flower,Heart,Turn"
success,"In this world it is not what we take up, but what we give up, that makes us rich.",Rich
love,Things are beautiful if you love them.,"Beauty,Beautiful"
philosophy,A day without laughter is a day wasted.,philosophy
life,"I want to live my life, not record it.",Record
arts,The temple of art is built in words.,"Communication,Words,Temple"
success,The real secret of success is enthusiasm.,"Enthusiasm,Secret"
life,"I still find each day too short for all the thoughts I want to think, all the walks I want to take, all the books I want to read, and all the friends I want to see.","Thoughts,Short,Books"
success,The ladder of success is best climbed by stepping on the rungs of opportunity.,"Best,Ladder,Stepping"
life,I don't believe people are looking for the meaning of lifeas much as they are looking for the experience of being alive.,"Experience,Meaning,Looking"
life,"A man sooner or later discovers that he is the master-gardener of his soul, the director of his life.","Soul,Director,Later"
success,Defeat is not the worst of failures. Not to have tried is the true failure.,"Failure,Defeat,True"
hope,Hope is patience with the lamp lit.,"Patience,Lamp,Lit"
life,Doing what you love is the cornerstone of having abundance in your life.,"Love,Abundance"
love,Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,"Courage,Trust,Power"
success,One secret of success in lifeis for a man to be ready for his opportunity when it comes.,"Life,Ready,Secret"
hope,"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.","Today,Learn,Tomorrow"
hope,Hope is being able to see that there is light despite all of the darkness.,"Darkness,Light"
hope,"We must accept finite disappointment, but never lose infinite hope.","Accept,Infinite,Lose"
hope,"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us.","Journey,Sun,Shadow"
love,"Do what you love; you'll be better at it. It sounds pretty simple, but you'd be surprised how many people don't get this one right away.","Simple,Surprised,Sounds"
"hope,life","We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.","Life,Conviction,Belief"
"arts,life","life is not an exact science, it is an art.","Life,Science,Exact"
success,"As you walk in God's divine wisdom, you will surely begin to see a greater measure of victory and good success in your life.","Life,Wisdom,God"
arts,The art of a people is a true mirror to their minds.,"Mirror,True,Minds"
"hope,success","A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.","Success,Failure,Effort"
arts,The art and science of asking questions is the source of all knowledge.,"Knowledge,Science"
success,I'd rather invest in an entrepreneur who has failed before than one who assumes success from day one.,"Rather,Failed,Invest"
hope,"Hope lies in dreams, in imagination, and in the courage of those who dare to make dreams into reality.","Courage,Dreams,Reality"
arts,"Raising children is a creative endeavor, an art rather than a science.","Science,Creative,Endeavor"
success,A key to achieving success is to assemble a strong and stable management team.,"Team,Achieve,Strong"
"life,love",Love is our true destiny. We do not find the meaning of lifeby ourselves alone - we find it with another.,"""ValentinesDay"",Life,Alone"
"friendship,life,love","Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.","Friendship,Life,Risks"
hope,We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,"Sea,Sail,Learn"
"life,love","If you are lucky enough to find a way of life you love, you have to find the courage to live it.","Courage,Love,Lucky"
arts,Photographing a cake can be art.,Cake
hope,"Hope is important because it can make the present moment less difficult to bear. If we believe that tomorrow will be better, we can bear a hardship today.","Hardship,Today,Tomorrow"
success,The season of failure is the best time for sowing the seeds of success.,"Failure,Best,Time"
hope,"I am prepared for the worst, but hope for the best.","Best,Prepared,Worst"
"life,poetry",The purpose of lifeis to be defeated by greater and greater things.,"Purpose,Defeated,Greater"
wisdom,Knowing yourself is the beginning of all wisdom.,"introspection,self-discovery,wisdom"
success,"Life is a series of punches. It presents a lot of challenges. It presents a lot of hardship, but the people that are able to take those punches and able to move forward are the ones that really do have a lot of success and have a lot of joy in their lifeand have a lot of stories to tell, too.","Life,Challenges,Joy"
success,The only thing I'm addicted to is winning. My success rate is 100 percent.,"Win,Percent,Cult"
hope,Hope is the pillar that holds up the world. Hope is the dream of a waking man.,"Dream,Pillar,Holds"
love,"You either love or you hate. You live in the middle, you get nothing.","Hate,Middle,Either"
success,"It's the steady, quiet, plodding ones who win in the lifelong race.","Win,Quiet,Race"
hope,Follow your heart. Don't follow what you've been told you're supposed to do.,"Heart,Follow,Message"
success,A person with a new idea is a crank until the idea succeeds.,"Crank,Succeeds,Until"
"hope,love","Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.","Romantic,Love,Barriers"
success,"When you win, nothing hurts.","Win,Hurts"
success,"The man who has done his level best... is a success, even though the world may write him down a failure.","Best,Failure,Level"
success,To be prepared is half the victory.,"Victory,Prepared,Half"
arts,Art enables us to find ourselves and lose ourselves at the same time.,"Time,Lose,Ourselves"
books,Books are a uniquely portable magic.,"books,magic,reading"
arts,The mission of art is to represent nature not to imitate her.,"Nature,Mission,Represent"
life,"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.","""SaintPatricksDay"",Funny"
love,"Hatred does not cease by hatred, but only by love; this is the eternal rule.","Hatred,Rule,Eternal"
life,life can only be understood backwards; but it must be lived forwards.,"Experience,Lived"
arts,What makes photography a strange invention is that its primary raw materials are light and time.,"Time,Light,Strange"
arts,Every artist was first an amateur.,"Amateur,Artist"
life,I would rather die a meaningful death than to live a meaningless life.,"Death,Die,Meaningful"
love,"We are all born for love. It is the principle of existence, and its only end.","Born,Existence,Principle"
success,Success is falling nine times and getting up ten.,"Fall,Ten,Nine"
love,"One does not fall in love; one grows into love, and love grows in him.","Fall,Grows"
love,The degree of loving is measured by the degree of giving.,"Give,Love,Degree"
success,The successful man will profit from his mistakes and try again in a different way.,"Mistakes,Successful,Profit"
life,Someone has to die in order that the rest of us should value lifemore.,"Death,Value,Rest"
"arts,success",An artist cannot fail; it is a success to be one.,"Success,Artist,Fail"
love,"Love is but the discovery of ourselves in others, and the delight in the recognition.","Discovery,Others"
success,"They succeed, because they think they can.",Succeed
success,"Four things for success: work and pray, think and believe.","Work,Pray,Four"
arts,Music has the power to bring people together like no other art form.,"Music,Power,Together"
life,You have to take risks. We will only understand the miracle of lifefully when we allow the unexpected to happen.,"Chance,Unexpected,Happen"
life,"Memories are the best things in life, I think.","Best,Memories"
life,"life isn't black and white. It's a million gray areas, don't you find?","Black,White,Gray"
love,Love is space and time measured by the heart.,"Time,Heart,Space"
"arts,life","life is short, the art long.","Art,Short"
life,"It's never nice to lose someone close to you; unfortunately, lifegoes on, and we have to make peace with it and move on.","Peace,Nice,Lose"
love,Love is the difficult realization that something other than oneself is real.,"Difficult,Oneself"
love,There is no remedy for love but to love more.,Remedy
success,"Success is never final, failure is never fatal. It's courage that counts.","Courage,Failure"
success,Ambition is the path to success. Persistence is the vehicle you arrive in.,"Ambition,Path,Arrive"
success,The road to success is always under construction.,Road
life,Life itself is the most wonderful fairy tale.,"Tale,Wonderful,Fairy"
arts,Graffiti's always been a temporary art form. You make your mark and then they scrub it off.,"Temporary,Mark,Form,Graffiti"
books,"Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.","books,friends,reading,teachers"
success,Success is the sum of small efforts - repeated day in and day out.,"Efforts,Small,Sum"
love,"Before I met my husband, I'd never fallen in love. I'd stepped in it a few times.","Husband,Fallen,Met"
books,"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.","books,reading"
"friendship,love",Friendship is Love without his wings!,"Friendship,Wings"
happiness,"Happiness is when what you think, what you say, and what you do are in harmony.",happiness
life,lifeis too short for long-term grudges.,"Short,Grudges"
love,Love is... never asking for more than you are prepared to give.,"Prepared,Asking"
"friendship,love",The greatest healing therapy is friendship and love.,"MovingOn,Healing"
arts,Art is the most beautiful of all lies.,"Beautiful,Lies"
life,Life is a mirror and will reflect back to the thinker what he thinks into it.,"Reflect,Mirror"
success,No one succeeds without effort... Those who succeed owe their success to perseverance.,"Effort,Succeed,Owe"
life,Our lifeis what our thoughts make it.,Thoughts
love,"The beauty of a woman must be seen from in her eyes, because that is the doorway to her heart, the place where love resides.","Beauty,Eyes,Heart"
life,"If you don't know where you're going, any road'll take you there","life,road"
"hope,life,love",Infuse your lifewith action. Don't wait for it to happen. Make it happen. Make your own future.,"Motivational,Life,Hope"
arts,Nature is the art of God.,"Nature,God"
success,The secret of success is sincerity.,"Secret,Sincerity"
life,"Once you bring life into the world, you must protect it. We must protect it by changing the world.","Bring,Protect"
"life,love","There is only one happiness in this life, to love and be loved.","Happiness,Life,Loved"
arts,I think most of the people involved in any art always secretly wonder whether they are really there because they're good or there because they're lucky.,"Good,Lucky,Wonder"
success,Failure is success if we learn from it.,"Failure,Learn"
hope,Hope is the only good that is common to all men; those who have nothing else possess hope still.,"Good,Men,Common"
life,All life is an experiment. The more experiments you make the better.,Experiment
love,The love of family and the admiration of friends is much more important than wealth and privilege.,"Family,Wealth"
"friendship,love",Love is the only force capable of transforming an enemy into friend.,"Friendship,Capable"
love,"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.","Birthday,Work,Age"
life,No man is a failure who is enjoying life.,"Failure,Enjoying"
"love,success","Don't aim for success if you want it; just do what you love and believe in, and it will come naturally.","Success,Aim"
love,Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Forgiveness,Darkness,Hate"
success,The one thing that I know is that you win with good people.,"Good,Win"
love,"If you love someone, set them free. If they come back they're yours; if they don't they never were.","Relationship,Free"
life,"A lifespent making mistakes is not only more honorable, but more useful than a lifespent doing nothing.","Mistakes,Useful,Honorable"
success,"Success is the progressive realization of predetermined, worthwhile, personal goals.","Goals,Personal,Worthwhile"
"life,love","I have found that if you love life, life will love you back.","Life,Found"
love,There is always some madness in love. But there is also always some reason in madness.,"Relationship,Reason"
"hope,love",A very small degree of hope is sufficient to cause the birth of love.,"Love,Small,Birth"
love,"When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love.","Morning,Enjoy,Alive"
success,There is no substitute for victory.,"Victory,Substitute"
hope,The point about hope is that it is something that occurs in very dark moments. It is like a flame in the darkness; it isn't like a confidence and a promise.,"Confidence,Darkness,Dark"
success,"In order to succeed you must fail, so that you know what not to do the next time.","Time,Fail,Succeed"
arts,lifeis an illusion. I am held together in the nothingness by art.,"Life,Together,Illusion"
hope,"Love, hope, fear, faith - these make humanity; These are its sign and note and character.","Faith,Love,Fear"
love,"Beauty is when you can appreciate yourself. When you love yourself, that's when you're most beautiful.","Beauty,Appreciate"
success,Those who have succeeded at anything and don't mention luck are kidding themselves.,"Luck,Themselves,Succeeded"
"love,success","Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.","Success,Work,Learning"
"inspiration,motivation","Nothing is impossible, the word itself says 'I'm possible'!","possible,inspiration,impossible"
poetry,Music expresses that which cannot be put into words and that which cannot remain silent,"literature,music,poetry"
humor,"Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.","humor,proverb"
hope,An athlete cannot run with money in his pockets. He must run with hope in his heart and dreams in his head.,"Money,Dreams,Heart"
"life,humor","This life’s hard, but it’s harder if you’re stupid.","humor,life"
"love,success,inspiration","Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","Success,Happiness"
success,Success is simply a matter of luck. Ask any failure.,"Failure,Luck,Matter"
success,"Success is a state of mind. If you want success, start thinking of yourself as a success.","Thinking,Start,State"
hope,"A dream is the bearer of a new possibility, the enlarged horizon, the great hope.","Great,Dream,Horizon"
life,I don't like dreams or reality. I like when dreams become reality because that is my life.,"Dreams,Reality"
love,"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.","Sad,Power,Grief"
arts,Fashion is only the attempt to realize art in living forms and social intercourse.,"Fashion,Living,Realize"
life,Life's a bit like mountaineering - never look down.,"Bit,mountain"
hope,"It has never been, and never will be easy work! But the road that is built in hope is more pleasant to the traveler than the road built in despair, even though they both lead to the same destination.","Work,Road,Easy"
arts,"Art is the child of Nature; yes, her darling child, in whom we trace the features of the mother's face, her aspect and her attitude.","Nature,Attitude,Mother"
humor,"Hope for the best, survive the worst, find humor wherever you can.","Best,Hope,Worst"
"life,love","Choose a job you love, and you will never have to work a day in your life.","Work,Life,Choose"
success,Definiteness of purpose is the starting point of all achievement.,"Purpose,Point,Starting"
humor,You can get through very serious and sometimes horrible and sometimes embarrassing and very awkward situations with humor. It gives us a way out.,"Serious,Awkward,Situations"
"friendship,love",Love is blind; friendship closes its eyes.,"Friendship,Eyes"
arts,Painting is just another way of keeping a diary.,"Painting,Diary,Keeping"
life,"We're all human, aren't we? Every human lifeis worth the same, and worth saving.","human,life,value,worth"
love,"Pursue some path, however narrow and crooked, in which you can walk with love and reverence.","Peace,Path,Walk"
arts,Painting is self-discovery. Every good artist paints what he is.,"Good,Painting,Artist"
success,"If you find it in your heart to care for somebody else, you will have succeeded.","Care,Heart,Succeeded"
hope,The reason I never give up hope is because everything is so basically hopeless.,"Reason,Hopeless,Basically"
love,A dog is the only thing on earth that loves you more than you love yourself.,"Pet,Dog,Earth"
arts,Art is making something out of nothing and selling it.,Selling
