,Category,Quote,Tags
20,"love,life",It is better to be hated for what you are than to be loved for what you are not.,"['life', 'love ']"
21,inspiration,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","['attributed-no-source', 'be-yourself', 'inspirational ']"
22,poetry,"All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.","['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither ']"
23,"humor,books","The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","['aliteracy', 'books', 'classic', 'humor ']"
24,"life,inspiration",There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles ']"
25,wisdom,"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.","['misattributed-to-abraham-lincoln', 'remaining-silent', 'wisdom ']"
26,love,"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",['love ']
27,life,Life is what happens to you while you're busy making other plans.,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans ']"
28,"life,books","Good friends, good books, and a sleepy conscience: this is the ideal life.","['books', 'contentment', 'friends', 'friendship', 'life ']"
29,wisdom,"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).","['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom ']"
30,life,It does not do to dwell on dreams and forget to live.,"['dreams', 'life ']"
31,wisdom,"The fool doth think he is wise, but the wise man knows himself to be a fool.",['wisdom ']
32,"inspiration,hope","Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.","['attributed-no-source', 'hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed ']"
33,inspiration,"We are all in the gutter, but some of us are looking at the stars.","['inspirational', 'optimism', 'perception', 'pessimism ']"
34,inspiration,"I have not failed. I've just found 10,000 ways that won't work.","['edison', 'failure', 'inspirational', 'paraphrased ']"
35,"friendship,love","It is not a lack of love, but a lack of friendship that makes unhappy marriages.","['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage ']"
36,"love,inspiration,philosophy","The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.","['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy ']"
37,"inspiration,books","Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton ']"
38,"humor,books","Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.","['animals', 'books', 'dogs', 'friends', 'humor ']"
39,life,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.","['life', 'navigation ']"
40,inspiration,I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,"['1929', 'imagination', 'inspirational', 'viereck-interview ']"
41,humor,"A day without sunshine is like, you know, night.","['humor', 'obvious', 'simile ']"
42,humor,Never put off till tomorrow what may be done day after tomorrow just as well.,"['humor', 'procrastination ']"
43,"love,poetry","I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.","['love', 'poetry ']"
44,love,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,['love ']
45,love,"Love all, trust a few, do wrong to none.","['do-wrong', 'love', 'trust', 'wrong ']"
46,inspiration,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,['inspirational ']
47,love,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",['love ']
48,happiness,For every minute you are angry you lose sixty seconds of happiness.,['happiness ']
49,love,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.","['courage', 'deeply-loved', 'love', 'strength', 'widely-misattributed ']"
50,"humor,writing",I love deadlines. I love the whooshing noise they make as they go by.,"['deadlines', 'humor', 'humour', 'work', 'writing ']"
51,inspiration,It is never too late to be what you might have been.,['inspirational ']
52,"humor,religion",Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,"['humor', 'religion ']"
53,humor,"Women and cats will do as they please, and men and dogs should relax and get used to the idea.","['cats', 'humor', 'women ']"
54,"love,happiness",Love is that condition in which the happiness of another person is essential to your own.,"['essential', 'happiness', 'love ']"
55,life,Sometimes the questions are complicated and the answers are simple.,"['attributed-no-source', 'life ']"
56,books,I have always imagined that Paradise will be a kind of library.,"['books', 'library ']"
57,love,"You love me. Real or not real?""I tell him, ""Real.","['katniss', 'love', 'peeta', 'suzanne-collins', 'the-hunger-games ']"
58,humor,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,['humor ']
59,humor,All you need is love. But a little chocolate now and then doesn't hurt.,"['chocolate', 'food', 'humor ']"
60,"life,inspiration",Everything you can imagine is real.,"['art', 'imagination', 'inspirational', 'life ']"
61,"inspiration,writing",There is no greater agony than bearing an untold story inside you.,"['1970', 'inspirational', 'stories', 'writing ']"
62,life,"Today you are You, that is truer than true. There is no one alive who is Youer than You.","['comedy', 'life', 'yourself ']"
63,books,"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.","['books', 'power-of-words', 'reading ']"
64,books,Never trust anyone who has not brought a book with them.,"['books', 'reading ']"
65,humor,"Whenever I feel the need to exercise, I lie down until it goes away.","['exercise', 'humor', 'laziness', 'misattributed-to-hutchins ']"
66,"life,humor,death",I'm not afraid of death; I just don't want to be there when it happens.,"['death', 'fear', 'humor', 'life ']"
67,love,"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",['love ']
68,happiness,Folks are usually about as happy as they make their minds up to be.,"['attributed-no-source', 'happiness ']"
69,love,"Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.",['love ']
70,books,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","['books', 'thought ']"
71,love,"Love is like the wind, you can't see it but you can feel it.","['love', 'simile ']"
72,life,Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.,"['beauty', 'life ']"
73,"inspiration,books",You can never get a cup of tea large enough or a book long enough to suit me.,"['books', 'inspirational', 'reading', 'tea ']"
74,books,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.","['books', 'reading ']"
75,inspiration,"Do what you can, with what you have, where you are.",['inspirational ']
76,love,"If you can make a woman laugh, you can make her do anything.","['attributed-no-source', 'girls', 'love ']"
77,"inspiration,death","To the well-organized mind, death is but the next great adventure.","['death', 'inspirational ']"
78,"inspiration,hope","Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.","['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t ']"
79,love,"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.","['love', 'weirdness ']"
80,"humor,books","I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.","['books', 'humor', 'reading', 'television ']"
81,inspiration,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",['inspirational ']
82,"life,inspiration",Life isn't about finding yourself. Life is about creating yourself.,"['inspirational', 'life', 'yourself ']"
83,love,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.","['imperfect', 'love ']"
84,romance,"He's like a drug for you, Bella.","['drug', 'romance', 'simile ']"
85,love,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,"['attributed-no-source', 'love ']"
86,life,"Life is like riding a bicycle. To keep your balance, you must keep moving.","['life', 'simile ']"
87,life,Some infinities are bigger than other infinities.,"['infinity', 'john-green', 'life', 'tfios', 'the-fault-in-our-stars ']"
88,"love,death","Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.","['death', 'love ']"
89,books,There is no friend as loyal as a book.,"['books', 'friends', 'novelist-quotes ']"
90,life,Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!,"['judge', 'life', 'live', 'perfection ']"
91,humor,The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.,"['humor', 'scifi ']"
92,happiness,Time you enjoy wasting is not wasted time.,"['happiness', 'misattributed-john-lennon', 'procrastination', 'time ']"
93,love,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",['attributed-no-source ']
94,love,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.","['friendship', 'love ']"
95,inspiration,Do one thing every day that scares you.,"['attributed', 'fear', 'inspiration ']"
96,humor,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.","['humor', 'open-mind', 'thinking ']"
97,love,If I had a flower for every time I thought of you...I could walk through my garden forever.,"['friendship', 'love ']"
98,humor,Some people never go crazy. What truly horrible lives they must lead.,['humor ']
99,"life,humor",Reality continues to ruin my life.,"['calvin-and-hobbes', 'humor', 'life ']"
100,"inspiration,success","Success is not final, failure is not fatal: it is the courage to continue that counts.","['bravery', 'courage', 'failure', 'inspirational', 'success ']"
101,books,It is what you read when you don't have to that determines what you will be when you can't help it.,"['books', 'reading ']"
102,romance,"There is no pretending,""Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.","['mortal-instruments', 'romance', 'teen-fantasy ']"
103,inspiration,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.","['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower ']"
104,humor,I love mankind ... it's people I can't stand!!,"['humor', 'mankind', 'people ']"
105,life,Things change. And friends leave. Life doesn't stop for anybody.,"['change', 'life ']"
106,humor,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",['humor ']
107,life,The only way out of the labyrinth of suffering is to forgive.,"['compassion', 'life', 'suffering ']"
108,"humor,philosophy",Go to heaven for the climate and hell for the company.,"['humor', 'misattributed-mark-twain', 'philosophy', 'theology ']"
109,"humor,truth",The reason I talk to myself is because I’m the only one whose answers I accept.,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth ']"
110,humor,I am free of all prejudice. I hate everyone equally.,"['humor', 'sinister ']"
111,"writing,books","What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.","['authors', 'books', 'literature', 'reading', 'writing ']"
112,success,"What is success? I think it is a mixture of having a flair for the thing that you are doing; knowing that it is not enough, that you have got to have hard work and a certain sense of purpose.","['Work', 'Purpose', 'Knowing']"
113,hope,At the moment of death I hope to be surprised.,"['Death', 'Moment', 'Surprised']"
114,life,Unrest of spirit is a mark of life.,"['Spirit', 'Mark', 'Unrest']"
115,humor,"Humor is something that thrives between man's aspirations and his limitations. There is more logic in humor than in anything else. Because, you see, humor is truth.","['Truth', 'Logic', 'Thrives']"
116,"arts,books","Literature is the art of discovering something extraordinary about ordinary people, and saying with ordinary words something extraordinary.","['Words', 'Literature', 'Ordinary']"
117,success,"If everyone is moving forward together, then success takes care of itself.","['Together', 'Care', 'Moving']"
118,hope,Hope is the only universal liar who never loses his reputation for veracity.,"['Liar', 'Reputation', 'Universal']"
119,life,"Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.","['Passing', 'Silence', 'Ocean']"
120,love,Love is the beauty of the soul.,"['Beauty', 'Soul']"
121,humor,Wit - the salt with which the American humorist spoils his intellectual cookery by leaving it out.,"['Leaving', 'Salt', 'Wit']"
122,arts,Politics is the art of controlling your environment.,['Politics']
123,success,"He has achieved success who has worked well, laughed often, and loved much.","['Loved', 'Achieved', 'Laughed']"
124,hope,Hope is the last thing a person does before they are defeated.,"['Last', 'Defeated']"
125,life,"Life is a gift, given in trust - like a child.","['Trust', 'Child', 'Gift']"
126,"life,love",Where there is love there is life.,['Life']
127,humor,Humor brings insight and tolerance. Irony brings a deeper and less friendly understanding.,"['Irony', 'Tolerance', 'Insight']"
128,arts,Advertising is the art of convincing people to spend money they don't have for something they don't need.,"['Money', 'Spend', 'Convincing']"
129,success,Success makes so many people hate you. I wish it wasn't that way. It would be wonderful to enjoy success without seeing envy in the eyes of those around you.,"['Envy', 'Eyes', 'Hate']"
130,hope,The world is bad but not without hope. It is only hopeless when you look at it from an ideal viewpoint.,"['Hopeless', 'Viewpoint', 'Ideal']"
131,life,Life is wasted on the living.,"['Living', 'Wasted']"
132,love,A kiss is a lovely trick designed by nature to stop speech when words become superfluous.,"['Nature', 'Words', 'Kiss']"
133,humor,Humor can alter any situation and help us cope at the very instant we are laughing.,"['Help', 'Situation', 'Cope']"
134,arts,"Just as pure abstract art is not dogmatic, neither is it decorative.","['Abstract', 'Pure', 'Decorative']"
135,success,Success comes from knowing that you did your best to become the best that you are capable of becoming.,"['Best', 'Knowing', 'Capable']"
136,hope,"It's time to get real, folks. Hope and change ain't working. Hope and change is not a solution. Hope and change is not a job.","['Change', 'Time', 'Solution']"
137,life,Life in abundance comes only through great love.,"['Love', 'Great', 'Abundance']"
138,"life,love",Life is the flower for which love is the honey.,"['Life', 'Flower', 'Honey']"
139,humor,The best way to make your audience laugh is to start laughing yourself.,"['Best', 'Start', 'Laugh']"
140,arts,"Don't only practice your art, but force your way into its secrets; art deserves that, for it and knowledge can raise man to the Divine.","['Knowledge', 'Practice', 'Secrets']"
141,success,The most important single ingredient in the formula of success is knowing how to get along with people.,"['Knowing', 'Single', 'Along']"
142,hope,I always believe things are going to work out.,['Work']
143,life,"Life is a culmination of the past, an awareness of the present, an indication of a future beyond knowledge, the quality that gives a touch of divinity to matter.","['Knowledge', 'Future', 'Quality']"
144,love,Love is being stupid together.,"['Together', 'Stupid']"
145,humor,Comedy has to be based on truth. You take the truth and you put a little curlicue at the end.,"['Truth', 'Comedy', 'Based']"
146,arts,Architecture is the art of how to waste space.,"['Architecture', 'Space', 'Waste']"
147,success,It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.,"['Happen', 'Attention', 'Sat']"
148,hope,"We often call a certainty a hope, to bring it luck.","['Luck', 'Certainty', 'Bring']"
149,"life,inspiration",To live is so startling it leaves little time for anything else.,"['Time', 'Leaves', 'Startling']"
150,love,"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserve your love and affection.","['Throughout', 'Universe', 'Search']"
151,humor,There seems to be no lengths to which humorless people will not go to analyze humor. It seems to worry them.,"['Worry', 'Analyze', 'Seems']"
152,"arts,love","People discuss my art and pretend to understand as if it were necessary to understand, when it's simply necessary to love.","['Love', 'Understand', 'Discuss']"
153,success,Always bear in mind that your own resolution to succeed is more important than any other.,"['Resolution', 'Succeed', 'Bear']"
154,hope,Hope is independent of the apparatus of logic.,"['Logic', 'Apparatus']"
155,"life,success",Seventy percent of success in life is showing up.,"['Success', 'Percent', 'Seventy']"
156,"friendship,love","We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.","['Friendship', 'Alone', 'Moment']"
157,humor,Great men are rarely isolated mountain peaks; they are the summits of ranges.,"['Great', 'Men', 'Mountain']"
158,arts,Space is the breath of art.,"['Design', 'Space', 'Breath']"
159,"life,love,wisdom,truth,relationship,romance","When someone loves you, the way they talk about you is different. You feel safe and comfortable.","['desire', 'emotion', 'friendship', 'honesty', 'imagination', 'individuality', 'life', 'love', 'passion', 'reality', 'relationships', 'romance', 'truth', 'wisdom', 'wise-words ']"
160,"love,success","When love and skill work together, expect a masterpiece.","['Love', 'Work', 'Expect']"
161,"hope,life","Easter is meant to be a symbol of hope, renewal, and new life.","['Easter', 'Life', 'Renewal']"
162,life,To be able to look back upon one's past life with satisfaction is to live twice.,"['Past', 'Twice']"
163,love,The course of true love never did run smooth.,"['True', 'Run', 'Smooth']"
164,humor,Humor is merely tragedy standing on its head with its pants torn.,"['Tragedy', 'Head', 'Standing']"
165,arts,"Science fiction is any idea that occurs in the head and doesn't exist yet, but soon will, and will change everything for everybody, and nothing will ever be the same again. As soon as you have an idea that changes some small part of the world you are writing science fiction. It is always the art of the possible, never the impossible.","['Change', 'Science', 'Small']"
166,success,You don't have to be a genius or a visionary or even a college graduate to be successful. You just need a framework and a dream.,"['Dream', 'College', 'Successful']"
167,"hope,life","Outside of the cross of Jesus Christ, there is no hope in this world. That cross and resurrection at the core of the Gospel is the only hope for humanity. Wherever you go, ask God for wisdom on how to get that Gospel in, even in the toughest situations of life.","['Easter', 'Life', 'Wisdom']"
168,life,"Any life is made up of a single moment, the moment in which a man finds out, once and for all, who he is.","['Moment', 'Single', 'Finds']"
169,love,"Love is like a beautiful flower which I may not touch, but whose fragrance makes the garden a place of delight just the same.","['Flower', 'Beautiful', 'Garden']"
170,humor,Wit is the lowest form of humor.,"['Wit', 'Form', 'Lowest']"
171,arts,There is nothing in the world of art like the songs mother used to sing.,"[""Mother's Day"", 'Mother', 'Sing']"
172,success,Success isn't measured by money or power or social rank. Success is measured by your discipline and inner peace.,"['Money', 'Power', 'Peace']"
173,"hope,life,love","Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","['Motivational', 'Life', 'Love']"
174,life,Wrong life cannot be lived rightly.,"['Wrong', 'Lived', 'Cannot']"
175,love,The most powerful weapon on earth is the human soul on fire.,"['Fire', 'Powerful', 'Soul']"
176,humor,"It is the ability to take a joke, not make one, that proves you have a sense of humor.","['Ability', 'Joke', 'Proves']"
177,"arts,love","Every bit of me is devoted to love and art. And I aspire to try to be a teacher to my young fans who feel just like I felt when I was younger. I just felt like a freak. I guess what I'm trying to say is I'm trying to liberate them, I want to free them of their fears and make them feel that they can make their own space in the world.","['Teacher', 'Love', 'Space']"
178,success,What's money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.,"['Morning', 'Money', 'Night']"
179,hope,"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow.","['Easter', 'Today', 'Dream']"
180,life,You have succeeded in life when all you really want is only what you really need.,['Succeeded']
181,love,"Love is when he gives you a piece of your soul, that you never knew was missing.","['Soul', 'Missing', 'Piece']"
182,humor,"A humorist is a person who feels bad, but who feels good about it.","['Good', 'Feels', 'Humorist']"
183,arts,The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.,"['Experience', 'Science']"
184,"inspiration,hope","You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.","['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace ']"
185,success,"To be successful, you have to have your heart in your business and your business in your heart.","['Business', 'Heart', 'Successful']"
186,hope,"He who has health, has hope; and he who has hope, has everything.",['Health']
187,"life,success","The greatest trap in our life is not success, popularity or power, but self-rejection.","['Success', 'Power']"
188,"life,love","We love life, not because we are used to living but because we are used to loving.","['Life', 'Living', 'Loving']"
189,humor,"Women, as they grow older, rely more and more on cosmetics. Men, as they grow older, rely more and more on a sense of humor.","['Women', 'Men', 'Grow']"
190,arts,"I consider skateboarding an art form, a lifestyle and a sport. 'Action sport' would be the least offensive categorization.","['Sports', 'Action', 'Lifestyle']"
191,success,The size of your success is measured by the strength of your desire; the size of your dream; and how you handle disappointment along the way.,"['Strength', 'Dream', 'Desire']"
192,hope,"All that I am, or hope to be, I owe to my angel mother.","[""Mother's Day"", 'Mother']"
193,life,Character develops itself in the stream of life.,"['Character', 'Stream']"
194,love,"Love and compassion are necessities, not luxuries. Without them humanity cannot survive.","['Compassion', 'Humanity']"
195,humor,"Humor is perhaps a sense of intellectual perspective: an awareness that some things are really important, others not; and that the two kinds are most oddly jumbled in everyday affairs.","['Awareness', 'Everyday', 'Others']"
196,arts,Tact is the art of making a point without making an enemy.,"['Tact', 'Enemy', 'Point']"
197,success,If you want to be truly successful invest in yourself to get the knowledge you need to find your unique factor. When you find it and focus on it and persevere your success will blossom.,"['Knowledge', 'Focus', 'Unique']"
198,"hope,love","The great gift of Easter is hope - Christian hope which makes us have that confidence in God, in his ultimate triumph, and in his goodness and love, which nothing can shake.","['Easter', 'Love', 'God']"
199,life,Life consists not in holding good cards but in playing those you hold well.,"['Good', 'Cards', 'Hold']"
200,love,Love has reasons which reason cannot understand.,"['Reason', 'Understand']"
201,humor,What a strange world this would be if we all had the same sense of humor.,['Strange']
202,arts,"Where thou art, that is home.","['Home', 'Thou']"
203,"success,education",Formal education will make you a living; self-education will make you a fortune.,"['Education', 'Living']"
204,hope,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,"['Motivational', 'Faith']"
205,life,The greatest use of a life is to spend it on something that will outlast it.,"['Greatest', 'Spend', 'Outlast']"
206,love,Love is an irresistible desire to be irresistibly desired.,"['Desire', 'Desired']"
207,humor,"One can never speak enough of the virtues, the dangers, the power of shared laughter.","['Power', 'Laughter', 'Speak']"
208,arts,"Filmmaking, like any other art, is a very profound means of human communication; beyond the professional pleasure of succeeding or the pain of failing, you do want your film to be seen, to communicate itself to other people.","['Pain', 'Filmmaking', 'Failing']"
209,success,"Think twice before you speak, because your words and influence will plant the seed of either success or failure in the mind of another.","['Failure', 'Words', 'Influence']"
210,hope,Black and white are the colors of photography. To me they symbolize the alternatives of hope and despair to which mankind is forever subjected.,"['Black', 'Colors', 'Forever']"
211,life,"Life is a succession of moments, to live each one is to succeed.","['Succeed', 'Moments']"
212,love,"I love that feeling of being in love, the effect of having butterflies when you wake up in the morning. That is special.","['Morning', 'Special', 'Feeling']"
213,humor,Wit is an explosion of the compound spirit.,"['Spirit', 'Wit', 'Explosion']"
214,arts,The art of simplicity is a puzzle of complexity.,"['Simplicity', 'Puzzle']"
215,success,"In order to attain the impossible, one must attempt the absurd.","['Impossible', 'Order']"
216,"hope,love","A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","['Teacher', 'Love', 'Learning']"
217,life,Fortunately analysis is not the only way to resolve inner conflicts. Life itself still remains a very effective therapist.,"['Analysis', 'Effective']"
218,love,Love is the flower you've got to let grow.,"['Flower', 'Grow']"
219,humor,This I conceive to be the chemical function of humor: to change the character of our thought.,"['Change', 'Character', 'Function']"
220,arts,"In art, the obvious is a sin.","['Sin', 'Obvious']"
221,life,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,"['life', 'regrets ']"
222,success,"Success depends upon previous preparation, and without such preparation there is sure to be failure.","['Failure', 'Sure', 'Depends']"
223,hope,There was never a night or a problem that could defeat sunrise or hope.,"['Morning', 'Sunrise', 'Night']"
224,life,The chief danger in life is that you may take too many precautions.,"['Danger', 'Chief']"
225,"hope,love",I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"['Death', 'Knowledge', 'Hope']"
226,humor,Laughter is involuntary. If it's funny you laugh.,"['Funny', 'Laughter', 'Laugh']"
227,arts,"The art of healing comes from nature, not from the physician. Therefore the physician must start from nature, with an open mind.","['Health', 'Nature', 'Healing']"
228,success,Success is finding satisfaction in giving a little more than you take.,"['Giving', 'Finding']"
229,"hope,inspiration","You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.","['Motivational', 'Vision', 'Living']"
230,life,It takes half your life before you discover life is a do-it-yourself project.,"['Project', 'Discover', 'Half']"
231,love,What force is more potent than love?,"['Force', 'Potent']"
232,humor,The satirist shoots to kill while the humorist brings his prey back alive and eventually releases him again for another chance.,"['Chance', 'Alive', 'Again']"
233,arts,Minimal art went nowhere.,"['Nowhere', 'Minimal']"
234,success,The secrets of success are a good wife and a steady job. My wife told me.,"['Good', 'Wife', 'Secrets']"
235,hope,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.","['Moving On', 'Change', 'Future']"
236,life,"What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds.","['Change', 'Happens', 'Minds']"
237,love,"Time is too slow for those who wait, too swift for those who fear, too long for those who grieve, too short for those who rejoice, but for those who love, time is eternity.","['Time', 'Fear', 'Grieve']"
